% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 7 2026, 19:57
% Table:              Table 2 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)                               Corrente de curto sem limitador (A)               Tensao da rede (V)
50                                                1.4                                               200                                               1780                                              0.013166666666666667                              6.826082444835343                                 -0.5800031309803331                               6.848917213771577                                 -173.96249722979803
50                                                1.4                                               200                                               1780                                              0.013333333333333332                              6.760052708782124                                 0.8907167642207109                                6.724985119639577                                 -170.81462203884522
50                                                1.4                                               200                                               1780                                              0.0135                                            6.667036163209615                                 2.350098973041447                                 6.574512581593811                                 -166.99261957248277
50                                                1.4                                               200                                               1780                                              0.013666666666666666                              6.546987556057149                                 3.7819103955128743                                6.398093445997587                                 -162.51157352833872
50                                                1.4                                               200                                               1780                                              0.013833333333333333                              6.399997863978861                                 5.170777197109147                                 6.196423958580862                                 -157.38916854795391
50                                                1.4                                               200                                               1780                                              0.014                                             6.226327756841468                                 6.503104600191338                                 5.970300016676453                                 -151.6456204235819
50                                                1.4                                               200                                               1780                                              0.014166666666666666                              6.026411389613828                                 7.76725298049926                                  5.720614028176849                                 -145.30359631569195
50                                                1.4                                               200                                               1780                                              0.014333333333333333                              5.800868964889035                                 8.953946412138936                                 5.448351389607975                                 -138.38812529604255
50                                                1.4                                               200                                               1780                                              0.014499999999999999                              5.550502155053164                                 10.056255168980078                                5.154586597219304                                 -130.9264995693703
50                                                1.4                                               200                                               1780                                              0.014666666666666666                              5.276288138283689                                 11.069551948879997                                4.840479006438018                                 -122.94816676352566
50                                                1.4                                               200                                               1780                                              0.014833333333333332                              4.979366759071165                                 11.991301967267622                                4.507268256422833                                 -114.48461371313995
50                                                1.4                                               200                                               1780                                              0.015                                             4.661031013216087                                 12.820945540215254                                4.156269377774541                                 -105.56924219547334
50                                                1.4                                               200                                               1780                                              0.015166666666666667                              4.322701433250624                                 13.559379295705755                                3.7888676027110275                                -96.2372371088601
50                                                1.4                                               200                                               1780                                              0.015333333333333332                              3.9659140917249203                                14.208790315823151                                3.4065128981885753                                -86.5254276139898
50                                                1.4                                               200                                               1780                                              0.0155                                            3.592298333376018                                 14.77223588171615                                 3.0107142435446734                                -76.4721417860347
50                                                1.4                                               200                                               1780                                              0.015666666666666666                              3.2035647427629605                                15.25348911493059                                 2.603033675246008                                 -66.1170553512486
50                                                1.4                                               200                                               1780                                              0.01583333333333333                               2.8014796267415365                                15.656547414234556                                2.185080122244113                                 -55.50103510500047
50                                                1.4                                               200                                               1780                                              0.016                                             2.3878568550964507                                15.985586490246067                                1.7585030562678656                                -44.66597762920379
50                                                1.4                                               200                                               1780                                              0.016166666666666666                              1.9645413546671764                                16.244706462897344                                1.324985982112163                                 -33.654643945648935
50                                                1.4                                               200                                               1780                                              0.01633333333333333                               1.5333926212642837                                16.437681822327907                                0.8862397936135785                                -22.510490757784893
50                                                1.4                                               200                                               1780                                              0.0165                                            1.0962842599479221                                16.56812125571251                                 0.4439960215340438                                -11.277498946964712
50                                                1.4                                               200                                               1780                                              0.016666666666666666                              0.6550851925568352                                16.63916389094341                                 0.000000000000008012281947206086                  -0.0000000000002035119614590346
50                                                1.4                                               200                                               1780                                              0.016833333333333332                              0.21166221162755164                               16.653719122304118                                -0.4439960215340278                               11.277498946964306
50                                                1.4                                               200                                               1780                                              0.016999999999999998                              -0.232135819782505                                16.6142409353087                                  -0.8862397936135563                               22.51049075778433
50                                                1.4                                               200                                               1780                                              0.017166666666666667                              -0.6823693151190853                               16.32246334162393                                 -1.3249859821121532                               33.654643945648694
50                                                1.4                                               200                                               1780                                              0.017333333333333333                              -1.1394732447238434                               15.723357213217923                                -1.7585030562678563                               44.665977629203546
50                                                1.4                                               200                                               1780                                              0.017499999999999998                              -1.5901703726420982                               15.110707639890792                                -2.185080122244098                                55.501035105000085
50                                                1.4                                               200                                               1780                                              0.017666666666666667                              -2.0304701320381264                               14.543113997479946                                -2.603033675245998                                66.11705535124835
50                                                1.4                                               200                                               1780                                              0.017833333333333333                              -2.458751294766183                                14.019858898973434                                -3.0107142435446645                               76.47214178603447
