Time;Tensao
0.0685000;19.46876906
0.0686667;18.80164363
0.0688333;18.08435536
0.0690000;17.31688702
0.0691667;16.49866501
0.0693333;15.63073109
0.0695000;14.71482042
0.0696667;13.75368444
0.0698333;12.74899516
0.0700000;11.70400179
0.0701667;10.62253586
0.0703333;9.507541956
0.0705000;8.362569587
0.0706667;7.190536316
0.0708333;5.99520762
0.0710000;4.780114446
0.0711667;3.549002407
0.0713333;2.305626687
0.0715000;1.053651439
0.0716667;-0.203068977
0.0718333;-1.460694623
0.0720000;-2.715388997
0.0721667;-3.962874347
0.0723333;-5.1998052
0.0725000;-6.422401017
0.0726667;-7.6270417
0.0728333;-8.809711084
0.0730000;-9.965839734
0.0731667;-11.09217789
0.0733333;-12.18531747
0.0735000;-13.2410582
0.0736667;-14.25652083
0.0738333;-15.22748257
0.0740000;-16.15034013
0.0741667;-17.02247814
0.0743333;-17.83854741
0.0745000;-18.59731545
0.0746667;-19.29466689
0.0748333;-19.92786535
0.0750000;-20.4932135
0.0751667;-20.98884788
0.0753333;-21.41105128
0.0755000;-21.75784462
0.0756667;-22.02649935
0.0758333;-22.21430111
0.0760000;-22.31999259
0.0761667;-22.34123266
0.0763333;-22.27690748
0.0765000;-22.12558685
0.0766667;-21.88621764
0.0768333;-21.55874607
0.0770000;-21.14297416
0.0771667;-20.64140046
0.0773333;-20.05672163
0.0775000;-19.4019321
0.0776667;-18.70764889
0.0778333;-17.85980283
0.0780000;-16.87182547
0.0781667;-15.76644872
0.0783333;-14.56246085
0.0785000;-13.27302022
0.0786667;-11.91031408
0.0788333;-10.48391236
0.0790000;-9.002910553
0.0791667;-7.475036162
0.0793333;-5.908481225
0.0795000;-4.311666147
0.0796667;-2.692948611
0.0798333;-1.060593616
0.0800000;-0.191848196
0.0801667;1.43996042
0.0803333;3.063010623
0.0805000;4.670733745
0.0806667;6.254936219
0.0808333;7.807982179
0.0810000;9.322264147
0.0811667;10.78928044
0.0813333;12.20367447
0.0815000;13.56070966
0.0816667;14.77152626
0.0818333;15.84796204
0.0820000;16.83020938
0.0821667;17.72675785
0.0823333;18.54089914
0.0825000;19.27026689
0.0826667;19.9159454
0.0828333;20.47621306
0.0830000;20.95094649
0.0831667;21.33940441
0.0833333;21.64373519
0.0835000;21.86412678
0.0836667;22.00149298
0.0838333;22.05911984
0.0840000;22.03226452
0.0841667;21.92361113
0.0843333;21.73777892
0.0845000;21.47634268
0.0846667;21.14103802
0.0848333;20.7323139
0.0850000;20.2568864
0.0851667;19.71124481
0.0853333;19.10359503
0.0855000;18.32365073
0.0856667;17.4808274
0.0858333;16.58221908
0.0860000;15.62478394
0.0861667;14.66232357
0.0863333;13.82532597
0.0865000;12.79616905
0.0866667;11.71695472
0.0868333;10.63873971
0.0870000;9.5015466
0.0871667;8.326552855
0.0873333;7.177735196
0.0875000;5.91378089
0.0876667;4.715345841
0.0878333;3.646180545
0.0880000;2.331139711
0.0881667;0.717086977
0.0883333;-0.13439097
0.0885000;-1.401319817
0.0886667;-2.441834097
0.0888333;-3.56426523
0.0890000;-4.731044705
0.0891667;-5.904286179
0.0893333;-7.089492728
0.0895000;-8.283135746
0.0896667;-9.459984744
0.0898333;-10.60823492
0.0900000;-11.72909502
0.0901667;-12.89965371
0.0903333;-14.02207675
0.0905000;-15.09235518
0.0906667;-16.09366598
0.0908333;-16.98539697
0.0910000;-17.81630827
0.0911667;-18.61448545
0.0913333;-19.35878875
0.0915000;-19.90121811
0.0916667;-20.44150411
0.0918333;-20.92344105
0.0920000;-21.35070027
0.0921667;-21.66499255
0.0923333;-21.93555181
0.0925000;-22.15344509
0.0926667;-22.29815735
0.0928333;-22.35573037
0.0930000;-22.32367557
0.0931667;-22.20863472
0.0933333;-22.00801842
0.0935000;-21.72011868
0.0936667;-21.33687247
0.0938333;-20.87225521
0.0940000;-20.32437486
0.0941667;-19.61535276
0.0943333;-18.85695115
0.0945000;-17.95875443
0.0946667;-16.93523534
0.0948333;-15.80623415
0.0950000;-14.58784398
0.0951667;-13.28885596
0.0953333;-11.91985766
0.0955000;-10.48988568
0.0956667;-9.006377661
0.0958333;-7.476842403
0.0960000;-5.911777283
0.0961667;-4.318810223
0.0963333;-2.703694994
0.0965000;-1.069919047
0.0966667;0.558216275
0.0968333;2.216501817
0.0970000;3.842215401
0.0971667;5.401128283
0.0973333;6.958632565
0.0975000;8.596121603
0.0976667;10.02485434
0.0978333;11.46980176
0.0980000;12.89705835
0.0981667;14.19179262
0.0983333;15.45768824
0.0985000;16.43726192
0.0986667;17.3118847
0.0988333;18.17383092
0.0990000;18.93872236
0.0991667;19.61682046
0.0993333;20.28059078
0.0995000;20.77465349
0.0996667;21.14631671
0.0998333;21.47257696
0.1000000;21.7375737
0.1001667;21.92370491
0.1003333;21.99283472
0.1005000;22.09208997
0.1006667;22.05256258
0.1008333;21.91408889
0.1010000;21.71741625
0.1011667;21.48120215
0.1013333;21.15961816
0.1015000;20.74830206
0.1016667;20.26736816
0.1018333;19.71923154
0.1020000;19.11164768
0.1021667;18.44072279
0.1023333;17.7112248
0.1025000;16.92368691
0.1026667;16.0803496
0.1028333;15.18537313
0.1030000;14.24951289
0.1031667;13.26242763
0.1033333;12.2335138
0.1035000;11.16450573
0.1036667;10.05922561
0.1038333;8.924184449
0.1040000;7.762706997
0.1041667;6.577450752
0.1043333;5.371555084
0.1045000;4.14674454
0.1046667;2.908773164
0.1048333;1.661779381
0.1050000;0.401795218
0.1051667;-0.863581422
0.1053333;-2.12710829
0.1055000;-3.386319328
0.1056667;-4.630172044
0.1058333;-5.864208872
0.1060000;-7.071121826
0.1061667;-8.264009506
0.1063333;-9.436286266
0.1065000;-10.58124417
0.1066667;-11.69376231
0.1068333;-12.77077641
0.1070000;-13.80821621
0.1071667;-14.80258598
0.1073333;-15.7525342
0.1075000;-16.64934145
0.1076667;-17.49184459
0.1078333;-18.27693722
0.1080000;-19.0008972
0.1081667;-19.65909143
0.1083333;-20.25562669
0.1085000;-20.78421868
0.1086667;-21.24091475
0.1088333;-21.62263203
0.1090000;-21.92653723
0.1091667;-22.15041551
0.1093333;-22.29337717
0.1095000;-22.35150465
0.1096667;-22.32091332
0.1098333;-22.20699534
0.1100000;-22.00593266
0.1101667;-21.71677422
0.1103333;-21.33894034
0.1105000;-20.87487496
0.1106667;-20.32721943
0.1108333;-19.70517564
0.1110000;-19.03773042
0.1111667;-18.22849958
0.1113333;-17.28582858
0.1115000;-16.22838854
0.1116667;-15.07194629
0.1118333;-13.82689965
0.1120000;-12.50502916
0.1121667;-11.11580006
0.1123333;-9.667463408
0.1125000;-8.167835626
0.1126667;-6.625424545
0.1128333;-5.047614245
0.1130000;-3.444055935
0.1131667;-1.823641767
0.1133333;-0.19362734
0.1135000;1.436475347
0.1136667;3.060675308
0.1138333;4.668831015
0.1140000;6.253662616
0.1141667;7.808627302
0.1143333;9.323633357
0.1145000;10.79186398
0.1146667;12.20653986
0.1148333;13.56283968
0.1150000;14.77054462
0.1151667;15.84487609
0.1153333;16.82928078
0.1155000;17.72599101
0.1156667;18.53839513
0.1158333;19.27053016
0.1160000;19.91601793
0.1161667;20.47707607
0.1163333;20.95122202
0.1165000;21.34305071
0.1166667;21.64713166
0.1168333;21.86660735
0.1170000;22.00244611
0.1171667;22.05662047
0.1173333;22.02946842
0.1175000;21.9220302
0.1176667;21.73722442
0.1178333;21.47635908
0.1180000;21.14161353
0.1181667;20.73461967
0.1183333;20.25896849
0.1185000;19.71537794
0.1186667;19.10746173
0.1188333;18.43677373
0.1190000;17.7067151
0.1191667;16.91973623
0.1193333;16.07872849
0.1195000;15.1865141
0.1196667;14.24657838
0.1198333;13.26093044
0.1200000;12.23305593
0.1201667;11.16669835
0.1203333;10.06489601
0.1205000;8.931336212
0.1206667;7.768928232
0.1208333;6.581384257
0.1210000;5.372286451
0.1211667;4.14531317
0.1213333;2.904202731
0.1215000;1.652711833
0.1216667;0.394693416
0.1218333;-0.866062825
0.1220000;-2.125617692
0.1221667;-3.379880008
0.1223333;-4.625222657
0.1225000;-5.857968526
0.1226667;-7.074379497
0.1228333;-8.270388374
0.1230000;-9.441614176
0.1231667;-10.58460396
0.1233333;-11.6959662
0.1235000;-12.77140944
0.1236667;-13.80795412
0.1238333;-14.80139129
0.1240000;-15.74816678
0.1241667;-16.64542871
0.1243333;-17.48804915
0.1245000;-18.27450208
0.1246667;-19.00072168
0.1248333;-19.66386994
0.1250000;-20.26026865
0.1251667;-20.78787561
0.1253333;-21.24304485
0.1255000;-21.62362389
0.1256667;-21.92690017
0.1258333;-22.150123
0.1260000;-22.29185118
0.1261667;-22.34971438
0.1263333;-22.3224597
0.1265000;-22.20857719
0.1266667;-22.00688411
0.1268333;-21.71716279
0.1270000;-21.33906757
0.1271667;-20.87459636
0.1273333;-20.32601473
0.1275000;-19.70412607
0.1276667;-19.03823819
0.1278333;-18.22900207
0.1280000;-17.28604246
0.1281667;-16.22833943
0.1283333;-15.07162829
0.1285000;-13.82688743
0.1286667;-12.50506359
0.1288333;-11.11543472
0.1290000;-9.666759544
0.1291667;-8.167097172
0.1293333;-6.624580769
0.1295000;-5.047588565
0.1296667;-3.444500397
0.1298333;-1.823622036
0.1300000;-0.193229274
0.1301667;1.438278803
0.1303333;3.062167938
0.1305000;4.670468847
0.1306667;6.254991479
0.1308333;7.808337193
0.1310000;9.32289593
0.1311667;10.79063695
0.1313333;12.20579911
0.1315000;13.56196791
0.1316667;14.77020883
0.1318333;15.84618912
0.1320000;16.82930303
0.1321667;17.72596959
0.1323333;18.53969122
0.1325000;19.2696677
0.1326667;19.91520845
0.1328333;20.47585438
0.1330000;20.95098977
0.1331667;21.34093316
0.1333333;21.64549151
0.1335000;21.86591297
0.1336667;22.00248652
0.1338333;22.05619887
0.1340000;22.02919461
0.1341667;21.92186564
