Time;Corrente
0.107166667;-44.42746054
0.1072;-44.18092521
0.107233333;-43.92734176
0.107266667;-43.6667988
0.1073;-43.39936567
0.107333333;-43.12508565
0.107366667;-42.84404978
0.1074;-42.55629145
0.107433333;-42.26190133
0.107466667;-41.96094716
0.1075;-41.65353293
0.107533333;-41.33972791
0.107566667;-41.01959978
0.1076;-40.69323759
0.107633333;-40.36071201
0.107666667;-40.02208041
0.1077;-39.67742536
0.107733333;-39.32684194
0.107766667;-38.97040057
0.1078;-38.60821993
0.107833333;-38.24033913
0.107866667;-37.86686774
0.1079;-37.48791674
0.107933333;-37.10353224
0.107966667;-36.71384765
0.108;-36.3189051
0.108033333;-35.9188197
0.108066667;-35.51369208
0.1081;-35.10366454
0.108133333;-34.68880389
0.108166667;-34.26916126
0.1082;-33.84485703
0.108233333;-33.41597313
0.108266667;-32.98266333
0.1083;-32.54502938
0.108333333;-32.10316806
0.108366667;-31.65714235
0.1084;-31.20713009
0.108433333;-30.7531627
0.108466667;-30.29538761
0.1085;-29.83389571
0.108533333;-29.36878851
0.108566667;-28.90024138
0.1086;-28.42833739
0.108633333;-27.95313915
0.108666667;-27.47481276
0.1087;-26.99342194
0.108733333;-26.50913292
0.108766667;-26.0221249
0.1088;-25.53239338
0.108833333;-25.04012206
0.108866667;-24.54546804
0.1089;-24.04850411
0.108933333;-23.54935332
0.108966667;-23.04821442
0.109;-22.545151
0.109033333;-22.04030102
0.109066667;-21.53377653
0.1091;-21.02582364
0.109133333;-20.51651899
0.109166667;-20.00599833
0.1092;-19.49449209
0.109233333;-18.98226153
0.109266667;-18.4697971
0.1093;-17.95655997
0.109333333;-17.44246447
0.109366667;-16.92769611
0.1094;-16.41232967
0.109433333;-15.89642183
0.109466667;-15.38022702
0.1095;-14.86378558
0.109533333;-14.34728756
0.109566667;-13.83080857
0.1096;-13.31456582
0.109633333;-12.79863757
0.109666667;-12.28312188
0.1097;-11.76824765
0.109733333;-11.25406296
0.109766667;-10.740748
0.1098;-10.22843026
0.109833333;-9.71724632
0.109866667;-9.207339889
0.1099;-8.698837119
0.109933333;-8.191902417
0.109966667;-7.686644994
0.11;-7.183218635
0.110033333;-6.681801278
0.110066667;-6.182484832
0.1101;-5.685451124
0.110133333;-5.190788286
0.110166667;-4.698690528
0.1102;-4.209298129
0.110233333;-3.722740705
0.110266667;-3.239198609
0.1103;-2.758831345
0.110333333;-2.281793083
0.110366667;-1.808268002
0.1104;-1.338423534
0.110433333;-0.87247489
0.110466667;-0.410667963
0.1105;0.046763073
0.110533333;0.499452614
0.110566667;0.947014662
0.1106;1.388789146
0.110633333;1.823524984
0.110666667;2.246848185
0.1107;2.665676502
0.110733333;3.082649962
0.110766667;3.497983035
0.1108;3.911212302
0.110833333;4.322252329
0.110866667;4.730975158
0.1109;5.137180508
0.110933333;5.540890387
0.110966667;5.94195226
0.111;6.340375493
0.111033333;6.73598041
0.111066667;7.128698395
0.1111;7.51846963
0.111133333;7.905163888
0.111166667;8.288688975
0.1112;8.668964977
0.111233333;9.045893625
0.111266667;9.419356653
0.1113;9.789297453
0.111333333;10.15559824
0.111366667;10.51817951
0.1114;10.876929
0.111433333;11.23178316
0.111466667;11.58262823
0.1115;11.92936513
0.111533333;12.27191365
0.111566667;12.61013026
0.1116;12.94394277
0.111633333;13.27320635
0.111666667;13.59778127
0.1117;13.91749128
0.111733333;14.23214322
0.111766667;14.54145158
0.1118;14.84496914
0.111833333;15.14188729
0.111866667;15.42891755
0.1119;15.7092169
0.111933333;15.98701048
0.111966667;16.26185465
0.112;16.53406257
0.112033333;16.80356004
0.112066667;17.07029716
0.1121;17.33422676
0.112133333;17.5952816
0.112166667;17.85374196
0.1122;18.10934254
0.112233333;18.36195624
0.112266667;18.61151276
0.1123;18.85794872
0.112333333;19.10121644
0.112366667;19.34125589
0.1124;19.57802752
0.112433333;19.81149265
0.112466667;20.04159376
0.1125;20.26827644
0.112533333;20.4914938
0.112566667;20.71118991
0.1126;20.92731181
0.112633333;21.13980782
0.112666667;21.34861333
0.1127;21.55366286
0.112733333;21.75488881
0.112766667;21.95218472
0.1128;22.14545692
0.112833333;22.33456015
0.112866667;22.51930626
0.1129;22.69941725
0.112933333;22.87439141
0.112966667;23.04304875
0.113;23.20208282
0.113033333;23.35836081
0.113066667;23.51273269
0.1131;23.66516348
0.113133333;23.81563805
0.113166667;23.96411754
0.1132;24.11059044
0.113233333;24.25501697
0.113266667;24.39737271
0.1133;24.53763223
0.113333333;24.67576762
0.113366667;24.81175276
0.1134;24.94557207
0.113433333;25.07718913
0.113466667;25.20659084
0.1135;25.33375613
0.113533333;25.45866044
0.113566667;25.58128671
0.1136;25.70161185
0.113633333;25.81962146
0.113666667;25.93529334
0.1137;26.04861474
0.113733333;26.15956612
0.113766667;26.26812906
0.1138;26.37428754
0.113833333;26.47802877
0.113866667;26.57932735
0.1139;26.6781754
0.113933333;26.77454941
0.113966667;26.86843415
0.114;26.95981296
0.114033333;27.04865533
0.114066667;27.13493078
0.1141;27.2185992
0.114133333;27.29958653
0.114166667;27.37763615
0.1142;27.45276894
0.114233333;27.52567121
0.114266667;27.59633364
0.1143;27.66474193
0.114333333;27.73088336
0.114366667;27.79474772
0.1144;27.85632381
0.114433333;27.91560268
0.114466667;27.9725679
0.1145;28.02721406
0.114533333;28.07953013
0.114566667;28.1295061
0.1146;28.17713364
0.114633333;28.22240198
0.114666667;28.2653008
0.1147;28.3058226
0.114733333;28.3439594
0.114766667;28.37970258
0.1148;28.41304092
0.114833333;28.44396736
0.114866667;28.47247372
0.1149;28.49855031
0.114933333;28.52219064
0.114966667;28.54338473
0.115;28.56212322
0.115033333;28.57839999
0.115066667;28.59220408
0.1151;28.60352715
0.115133333;28.61236041
0.115166667;28.6186953
0.1152;28.62252256
0.115233333;28.62383286
0.115266667;28.62261697
0.1153;28.61886533
0.115333333;28.61256842
0.115366667;28.60371668
0.1154;28.59229986
0.115433333;28.57830781
0.115466667;28.56173004
0.1155;28.54255848
0.115533333;28.52078025
0.115566667;28.49638573
0.1156;28.46936574
0.115633333;28.43970786
0.115666667;28.40740226
0.1157;28.3724373
0.115733333;28.33480193
0.115766667;28.29448729
0.1158;28.25148348
0.115833333;28.20577495
0.115866667;28.15735625
0.1159;28.10621119
0.115933333;28.05233592
0.115966667;27.99571707
0.116;27.93634513
0.116033333;27.87420722
0.116066667;27.80929685
0.1161;27.74160502
0.116133333;27.67112096
0.116166667;27.59783619
0.1162;27.5217415
0.116233333;27.44283077
0.116266667;27.36105179
0.1163;27.27545332
0.116333333;27.18630082
0.116366667;27.09376142
0.1164;26.99788479
0.116433333;26.89869021
0.116466667;26.79618965
0.1165;26.69038524
0.116533333;26.58127637
0.116566667;26.46886469
0.1166;26.35313118
0.116633333;26.23407176
0.116666667;26.11170866
0.1167;25.98607908
0.116733333;25.857055
0.116766667;25.72446011
0.1168;25.58843096
0.116833333;25.44913924
0.116866667;25.30607769
0.1169;25.16162513
0.116933333;25.01130721
0.116966667;24.85498184
0.117;24.70476513
0.117033333;24.54403218
0.117066667;24.37632989
0.1171;24.20749275
0.117133333;24.04445677
0.117166667;23.87074879
0.1172;23.69137702
0.117233333;23.50907696
0.117266667;23.32567962
0.1173;23.14195535
0.117333333;22.94780779
0.117366667;22.74021599
0.1174;22.52386791
0.117433333;22.30088015
0.117466667;22.07283561
0.1175;21.83786626
0.117533333;21.59498209
0.117566667;21.34558798
0.1176;21.09030799
0.117633333;20.82907039
0.117666667;20.55912453
0.1177;20.28084488
0.117733333;20.02278218
0.117766667;19.73580875
0.1178;19.43711667
0.117833333;19.13798942
0.117866667;18.84356764
0.1179;18.54549986
0.117933333;18.23700244
0.117966667;17.9195311
0.118;17.5964419
0.118033333;17.26802511
0.118066667;16.93517572
0.1181;16.59712817
0.118133333;16.25355639
0.118166667;15.90567403
0.1182;15.55323243
0.118233333;15.19377167
0.118266667;14.81766612
0.1183;14.42931264
0.118333333;14.0317133
0.118366667;13.62603831
0.1184;13.20920593
0.118433333;12.79134644
0.118466667;12.35709114
0.1185;11.92308967
0.118533333;11.47791369
0.118566667;11.02089924
0.1186;10.55972234
0.118633333;10.09544008
0.118666667;9.625100348
0.1187;9.146622622
0.118733333;8.661316577
0.118766667;8.169986243
0.1188;7.67319386
0.118833333;7.170884204
0.118866667;6.663499874
0.1189;6.151152195
0.118933333;5.633805501
